SKU,Price,Date
2,50.48,18-01-2010
3,84.37,19-01-2010
1,158.56,19-01-2010
2,49.05,19-01-2010
2,49.05,19-01-2010
3,109.71,19-01-2010
2,50.48,18-01-2010
2,50.5,18-01-2010
1,148.32,19-01-2010
1,149.06,19-01-2010
2,54.99,14-07-2009
2,49.05,19-01-2010
1,148.32,19-01-2010
2,49.85,19-01-2010
3,115.98,14-07-2009
1,154.1,14-07-2009
3,109.58,14-07-2009
2,55.59,14-07-2009
1,116.43,14-07-2009
2,57.96,14-07-2009
3,109.58,14-07-2009
1,139.3,14-07-2009
2,54.74,14-07-2009
2,54.74,14-07-2009
2,58,14-07-2009
2,55.5,14-07-2009
2,45.97,20-01-2010
1,153.8,20-01-2010
3,109.94,20-01-2010
2,45.96,20-01-2010
3,115.98,15-07-2009
1,148.32,20-01-2010
2,54.75,14-07-2009
2,54.99,15-07-2009
1,154.1,15-07-2009
3,109.58,15-07-2009
2,57.96,15-07-2009
2,54.74,15-07-2009
3,109.58,15-07-2009
2,55.59,15-07-2009
1,116.43,15-07-2009
2,54.74,15-07-2009
2,54.74,15-07-2009
2,55.5,15-07-2009
1,148.32,20-01-2010
1,177.64,21-01-2010
2,45.16,21-01-2010
2,44.74,21-01-2010
2,45.5,21-01-2010
2,46.39,21-01-2010
1,148.32,21-01-2010
1,139.3,15-07-2009
2,54.99,16-07-2009
3,109.94,21-01-2010
3,115.98,16-07-2009
2,55.59,16-07-2009
1,116.43,16-07-2009
1,154.1,16-07-2009
3,109.58,16-07-2009
2,57.96,16-07-2009
2,54.74,16-07-2009
3,109.58,16-07-2009
1,139.3,16-07-2009
2,54.74,16-07-2009
2,54.74,16-07-2009
2,46.38,21-01-2010
1,148.32,22-01-2010
1,177.64,22-01-2010
1,177.6,22-01-2010
1,198.18,22-01-2010
1,198.18,22-01-2010
2,45.5,22-01-2010
1,177.64,22-01-2010
3,109.71,22-01-2010
2,53.47,22-01-2010
1,148.32,22-01-2010
2,49.85,22-01-2010
2,55.5,16-07-2009
1,154.1,17-07-2009
3,109.58,17-07-2009
2,57.96,17-07-2009
2,55.5,17-07-2009
2,54.74,17-07-2009
3,109.58,17-07-2009
1,139.3,17-07-2009
2,54.99,17-07-2009
3,115.98,17-07-2009
2,55.59,17-07-2009
1,116.43,17-07-2009
2,54.74,17-07-2009
2,54.74,17-07-2009
2,58,17-07-2009
2,54.6,23-01-2010
1,169.96,23-01-2010
2,45.5,23-01-2010
1,177.64,23-01-2010
3,84.37,23-01-2010
1,148.32,23-01-2010
2,49.85,23-01-2010
3,109.71,23-01-2010
2,47.37,23-01-2010
2,54.99,18-07-2009
1,154.1,18-07-2009
3,109.58,18-07-2009
2,57.96,18-07-2009
2,54.74,18-07-2009
3,109.58,18-07-2009
3,115.98,18-07-2009
2,55.59,18-07-2009
1,116.43,18-07-2009
2,54.74,18-07-2009
2,54.74,18-07-2009
1,177.64,24-01-2010
2,55.5,18-07-2009
3,84.37,24-01-2010
2,54.91,24-01-2010
2,54.6,24-01-2010
1,139.3,18-07-2009
1,169.92,24-01-2010
2,58,18-07-2009
1,169.96,24-01-2010
2,54.99,19-07-2009
2,49.85,24-01-2010
1,154.1,19-07-2009
